"","YaleID","Accession.ID"
"139","Yale-3627","EPI_ISL_1793573"
"140","Yale-3657","EPI_ISL_1793603"
"141","Yale-3650","EPI_ISL_1793596"
"142","Yale-3658","EPI_ISL_1793604"
"143","Yale-3661","EPI_ISL_1793607"
"144","Yale-3633","EPI_ISL_1793579"
"145","Yale-3691","EPI_ISL_1793637"
"146","Yale-3630","EPI_ISL_1793576"
"147","Yale-3671","EPI_ISL_1793617"
"148","Yale-3806","EPI_ISL_1793020"
"149","Yale-3884","EPI_ISL_1793078"
"150","Yale-3812","EPI_ISL_1793025"
"151","Yale-3794","EPI_ISL_1793008"
"152","Yale-3857","EPI_ISL_1793061"
"153","Yale-3900","EPI_ISL_1793092"
"154","Yale-4219","EPI_ISL_2020698"
"155","Yale-4692","EPI_ISL_2159632"
"156","Yale-4697","EPI_ISL_2159639"
"157","Yale-4696","EPI_ISL_2159637"
"158","Yale-4676","EPI_ISL_2159609"
"159","Yale-4681","EPI_ISL_2159615"
"160","Yale-4671","EPI_ISL_2159602"
"161","Yale-4685","EPI_ISL_2159621"
"162","Yale-4670","EPI_ISL_2159600"
"163","Yale-4665","EPI_ISL_2159594"
"164","Yale-4661","EPI_ISL_2159588"
"165","Yale-4664","EPI_ISL_2159593"
"166","Yale-4680","EPI_ISL_2159613"
"167","Yale-4667","EPI_ISL_2159596"
"168","Yale-4662","EPI_ISL_2159589"
"169","Yale-4660","EPI_ISL_2159586"
"170","Yale-4658","EPI_ISL_2159585"
"171","Yale-4656","EPI_ISL_2159581"
"172","Yale-4650","EPI_ISL_2159111"
"173","Yale-4652","EPI_ISL_2159114"
"174","Yale-4645","EPI_ISL_2159104"
"175","Yale-4642","EPI_ISL_2159099"
"176","Yale-4637","EPI_ISL_2159091"
"177","Yale-4631","EPI_ISL_2159081"
"178","Yale-4647","EPI_ISL_2159107"
"179","Yale-4636","EPI_ISL_2159090"
"180","Yale-4639","EPI_ISL_2159095"
"181","Yale-4641","EPI_ISL_2159098"
"182","Yale-4634","EPI_ISL_2159086"
"183","Yale-4638","EPI_ISL_2159093"
"184","Yale-4621","EPI_ISL_2159066"
"185","Yale-4630","EPI_ISL_2159080"
"186","Yale-4629","EPI_ISL_2159078"
"187","Yale-4622","EPI_ISL_2159067"
"188","Yale-4615","EPI_ISL_2159059"
"189","Yale-4609","EPI_ISL_2159050"
"190","Yale-4608","EPI_ISL_2159048"
"191","Yale-4612","EPI_ISL_2159055"
"192","Yale-4602","EPI_ISL_2159041"
"193","Yale-4600","EPI_ISL_2159038"
"194","Yale-4601","EPI_ISL_2159039"
"195","Yale-4592","EPI_ISL_2159025"
"196","Yale-4593","EPI_ISL_2159027"
"197","Yale-4585","EPI_ISL_2159014"
"198","Yale-4590","EPI_ISL_2159022"
"199","Yale-4591","EPI_ISL_2159023"
"200","Yale-4583","EPI_ISL_2159011"
"201","Yale-4587","EPI_ISL_2159017"
"202","Yale-4582","EPI_ISL_2159010"
"203","Yale-4579","EPI_ISL_2159005"
"204","Yale-4575","EPI_ISL_2158998"
"205","Yale-3986","EPI_ISL_2034927"
"206","Yale-4574","EPI_ISL_2158997"
"207","Yale-4560","EPI_ISL_2158975"
"208","Yale-4565","EPI_ISL_2158983"
"209","Yale-5887","EPI_ISL_2960046"
"210","Yale-5791","EPI_ISL_2860315"
"211","Yale-6081","EPI_ISL_3025424"
"212","Yale-4625","EPI_ISL_2159072"
"213","Yale-4564","EPI_ISL_2158981"
"214","Yale-5893","EPI_ISL_2960047"
"215","Yale-4843","EPI_ISL_2296430"
"216","Yale-4119","EPI_ISL_2035098"
"217","Yale-4121","EPI_ISL_2035101"
"218","Yale-4120","EPI_ISL_2035100"
"219","Yale-4117","EPI_ISL_2035095"
"220","Yale-5776","EPI_ISL_2860311"
"221","Yale-4116","EPI_ISL_2035093"
"222","Yale-4111","EPI_ISL_2035085"
"223","Yale-4108","EPI_ISL_2035080"
"224","Yale-4112","EPI_ISL_2035087"
"225","Yale-4113","EPI_ISL_2035088"
